# Metadata,# In some references the name of the compilation author is mentioned,,,,,,,,,,,,,,,,,,,,,,,,,
Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,,
,,-31.79,-69.38,56,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-31.93,-69.9,58,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-32.01,-69.57,53,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-32.72,-69.51,50,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-33.78,-70.4,42,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-33.6,-67.44,40,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.62,-69.51,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.48,-70.14,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.84,-70.21,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.58,-70.41,40,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.39,-71.19,35,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.86,-67.42,40,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.87,-68.17,45,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.09,-68.83,45,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.79,-69.65,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.83,-70.27,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.85,-70.71,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.83,-71.1,35,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.27,-67.19,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.39,-68.05,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.1,-68.77,55,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.22,-69.34,60,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.5,-70.58,45,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.03,-70.58,40,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.46,-67.33,45,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.58,-67.87,50,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.55,-68.68,60,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.71,-70.75,45,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.75,-71.17,30,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-21,-68.45,72,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-21,-68,67,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-21,-67.5,67,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-21,-67,75,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-21,-66,75,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-21,-65,59,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-21,-64.35,49,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-25.5,-68.4,62,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-25.5,-68,60,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-25.5,-67.6,59,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-25.5,-67.1,57,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-25.5,-66.78,70,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-25.5,-66.2,65,,-,,,,,,,,,America_South,Wolbern2009,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-22.5,-70,35,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-22.5,-69.5,49,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-22.5,-69,60,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-22.5,-68,85,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-22.5,-67,79,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-22.5,-66.5,78,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-22.5,-66,70,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-22.5,-65,62,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-23.5,-69,65,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-23.5,-68.6,72,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-23.5,-68,70,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-23.5,-67.5,68,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-23.5,-67,67,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-23.5,-66,61,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-23.5,-65,50,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-70,42,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-69.5,52,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-69,60,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-68.5,68,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-68,56,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-67.5,50,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-66.6,61,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-66,53,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-24.5,-65.5,50,,-,,,,,,,,,America_South,Yuan2000,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-17.5,-67.5,67,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-18.7,-66.5,73,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-19.5,-68.5,70,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-19.5,-67.5,57,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-19.5,-65.5,62,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-19.5,-64.5,52,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-20,-63.5,43,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-19.5,-62.5,30,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-20.5,-68.5,67,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-20.5,-66.5,80,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-21.5,-68.5,65,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-22.5,-69.5,35,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-22.5,-66.5,66,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-22.5,-65.5,58,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-23.5,-68.5,67,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-23.5,-67.5,59,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-23.5,-66.5,58,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-23.5,-65.5,51,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-24.5,-69.5,36,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-24.5,-68.5,56,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-24.5,-67.5,42,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-24.5,-66.5,58,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-24.5,-65.5,45,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-21,-68.4,70,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-21,-64.5,50,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-21,-63.5,40,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-23,-68.4,65,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-24,-67.5,60,,-,,,,,,,,,America_South,Yuan2002,Stephenson 2024,Hk,-,,,,,,,
,,-39,-72.4,32,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39,-71.8,38,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39,-70.8,38,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39,-70.5,30,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39,-70,30,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39,-69.6,33,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39,-68.7,33,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-30.95,-69.08,68.9,,-,,,,,,,,,America_South,Ammirati2013,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-30.83,-68.95,60.6,,-,,,,,,,,,America_South,Ammirati2013,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-16.74,-43.88,39.5,,1.72,,,,,,,,,America_South,Rivadeneyra2019,Stephenson 2024,RF_other,-,,,,,,,
,,-17.983,-48.212,40,,1.69,,,,,,,,,America_South,Rivadeneyra2019,Stephenson 2024,RF_other,-,,,,,,,
,,-19.704,-50.359,43.3,,1.746,,,,,,,,,America_South,Rivadeneyra2019,Stephenson 2024,RF_other,-,,,,,,,
,,4.341,-76.246,40,,-,,,,,,,,,America_South,Monsalve2013,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,4.479,-75.632,43,,-,,,,,,,,,America_South,Monsalve2013,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-13.774,-49.162,39,,-,,,,,,,,,America_South,Rivadeneyra2019,Stephenson 2024,RF_other,-,,,,,,,
,,-23.34,-45.69,40.8,,-,,,,,,,,,America_South,Evain2015,Stephenson 2024,Refraction,-,,,,,,,
,,-23.46,-45.54,40.7,,-,,,,,,,,,America_South,Evain2015,Stephenson 2024,Refraction,-,,,,,,,
,,-23.6,-45.35,39.1,,-,,,,,,,,,America_South,Evain2015,Stephenson 2024,Refraction,-,,,,,,,
,,-9.669,-36.275,37.5,,1.71,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.226,-36.013,34.5,,1.79,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-4.224,-38.291,31.7,,1.71,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-12.589,-39.181,38.2,,1.76,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-14.931,-39.434,40.7,,1.98,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-10.993,-37.789,30.5,,1.76,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.364,-36.95,35.3,,1.7,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.365,-38.764,37.8,,1.77,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-3.311,-40.041,34.4,,1.75,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-5.75,-37.112,31.7,,1.74,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-5.543,-39.584,36.9,,1.73,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-10.847,-40.199,39.3,,1.76,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-4.394,-41.446,39.7,,1.73,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.418,-35.291,33.4,,1.71,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.679,-35.127,30.6,,1.68,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-9.122,-38.063,37,,1.72,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-9.038,-37.045,34.2,,1.79,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.176,-36.01,35,,1.75,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.43,-35.936,36.1,,1.76,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-4.581,-38.392,31.9,,1.69,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.122,-38.271,30.4,,1.74,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-5.827,-35.901,32.2,,1.77,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.351,-36.55,36.5,,1.74,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-3.745,-40.371,35.5,,1.71,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.781,-35.744,32.5,,1.74,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-5.219,-37.876,30.2,,1.75,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.475,-36.62,30.3,,1.75,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.569,-35.233,31.2,,1.76,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.747,-36.315,32.1,,1.79,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.026,-36.342,32,,1.75,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.305,-35.772,32.6,,1.74,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.228,-35.64,35.4,,1.72,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.906,-37.377,35.5,,1.71,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.463,-35.958,32.9,,1.69,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-5.593,-38.395,33.1,,1.77,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.828,-35.114,31.8,,1.7,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-5.976,-35.235,34.3,,1.72,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.817,-36.037,37.4,,1.73,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.351,-36.551,36.6,,1.74,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.326,-37.473,36.5,,1.71,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.008,-36.381,32.3,,1.71,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.957,-36.702,39.6,,1.68,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.199,-38.431,38.6,,1.78,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.785,-37.341,40,,1.73,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.646,-37.86,39.3,,1.7,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.679,-37.546,32.2,,1.77,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-3.167,-40.926,37.2,,1.68,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-4.513,-39.635,30.9,,1.72,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-5.59,-38.386,32.5,,1.8,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-6.678,-37.546,32.4,,1.76,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-7.747,-36.315,33.1,,1.75,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-8.227,-35.64,35.1,,1.72,,,,,,,,,America_South,Luz2015,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-5.36,-50.23,42.3,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.43,-49.95,40.9,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.46,-49.64,39.4,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.44,-49.34,40.8,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.37,-49.02,41.6,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.51,-48.67,43.6,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.61,-48.33,45.1,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.74,-48.07,46.5,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.62,-47.83,46,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.34,-44.68,39.4,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.31,-44.35,40.5,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.34,-44.03,39.4,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.29,-43.73,39.5,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.28,-43.38,39.4,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.08,-43.06,39.4,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5,-42.4,40.8,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-4.81,-42.13,41.4,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-4.92,-42.03,43.7,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.03,-41.93,43,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.21,-41.69,41.6,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.38,-41.42,41,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.29,-41.11,39.8,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.19,-40.8,38.1,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.28,-40.49,36.7,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.44,-40.15,34.9,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,-5.43,-39.94,35.7,,-,,,,,,,,,America_South,Daly2014,Stephenson 2024,Reflection,-,,,,,,,
,,4.491,-75.403,53.5,,1.76,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,4.59,-74.04,59.5,,1.84,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,7.11,-73.71,49,,1.71,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,8.65,-77.36,36.3,,1.74,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,4.63,-73.73,51.8,,1.75,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,9.94,-73.44,37.5,,1.63,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,1.58,-75.65,37,,1.78,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,1.22,-77.34,56,,1.74,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,6.19,-75.53,56.5,,1.77,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,8.77,-75.66,24.5,,1.84,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,0.24,-78.45,49.5,,1.75,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,4.91,-76.28,35.1,,1.75,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,7.33,-72.69,55.3,,1.77,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,2.323,-76.397,49.5,,1.78,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,2.54,-76.68,34,,1.66,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,3.71,-74.89,44,,1.63,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,-0.17,-74.79,28,,1.69,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,4.84,-74.32,60,,1.87,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,4.901,-75.347,42.8,,1.75,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,5.89,-73.08,46.5,,1.83,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,9.89,-75.17,37.1,,1.74,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,2.135,-76.608,53,,1.88,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,6.43,-71.79,41.7,,1.77,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,11.7,-71.99,29.5,,1.79,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,4.11,-73.69,31.3,,1.77,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,3.98,-76.34,36.2,,1.75,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,7.49,-74.85,57.8,,1.76,,,,,,,,,America_South,Poveda2015,Stephenson 2024,Hk,-,,,,,,,
,,-7.407,-79.565,29.5,,1.75,,,,,,,,,America_South,Condori2017,Stephenson 2024,Hk,-,,,,,,,
,,-4.253,-81.236,28.2,,1.72,,,,,,,,,America_South,Condori2017,Stephenson 2024,Hk,-,,,,,,,
,,-3.683,-80.194,35.7,,1.87,,,,,,,,,America_South,Condori2017,Stephenson 2024,Hk,-,,,,,,,
